,Filename,Sentence,Label
0,CaseStudy_SDC.pdf,"The storyOne of ﬁve major San Diego County government divisions, the Health and Human Services Agency offers the community a wide range of health and social programs, including aging and independence services, public health programs, and children’s services.",0
1,CaseStudy_SDC.pdf,"To help with the administration of these programs, the agency uses CalWIN, a state-approved program.",0
2,CaseStudy_SDC.pdf,"Supporting documents used to qualify every individual for various government assistance programs, like food stamps (the Supplemental Nutrition Program ),Temporary Assistance for Needy Families, Medical, and more were being transferred onto a digital format using EMC Documentum.",0
3,CaseStudy_SDC.pdf,An integration challengeDigitizing supporting documents and using CalWIN had introduced a challenge: How to get the two programs to communicate with each other automatically?,0
4,CaseStudy_SDC.pdf,"Without this piece of automation, an agent using CalWIN would have to take information from relevant forms, then look for supporting documents in another system, visually and manually verify it, and then provide the information to an applying individual.Computations and Permutations of the veriﬁcation process There was another requirement.",0
5,CaseStudy_SDC.pdf,CalWIN supported over 500 different forms.,0
6,CaseStudy_SDC.pdf,"Based on the forms the agent was using for each case, certain combinations of ﬁelds needed to be veriﬁed.",0
7,CaseStudy_SDC.pdf,"For example, if he was using Form A and Form B then social security and address ﬁelds needed to be veriﬁed in the supporting documents, whereas if he was using Form C and Form B then social security and driver’s license details needed to be veriﬁed.",0
8,CaseStudy_SDC.pdf,"These complexities resulted in hundreds of business rules, making process automation imperative.",0
9,CaseStudy_SDC.pdf,San Diego County chose Automation Anywhere to automate its extremely complex Health and Human Services processing and veriﬁcation functions.,0
10,CaseStudy_SDC.pdf,Working with a legacy application – a non-invasive approach is really the only way Automation Anywhere’s in-house experts sat down to design a process that would serve SDC’s requirements.,0
11,CaseStudy_SDC.pdf,"To integrate CalWIN with Documentum required signiﬁcant code changes to CalWIN but being a legacy application, code changes to CalWIN were really not an option.",0
12,CaseStudy_SDC.pdf,Automation Anywhere’s non-invasive approach was the solution.,0
13,CaseStudy_SDC.pdf,"This way, those setting up the automation could work with the application and automatically retrieve data without making changes to CalWIN itself.",0
14,CaseStudy_SDC.pdf,Any other solution would have required programming or direct integration coding.,0
15,CaseStudy_SDC.pdf,"Seamless execution on 2000 computers – SMART Automation Technology The agents all use different computer conﬁgurations – so any solution would have to adjust to several parameters like screen sizes and resolutions, operating systems, and different platforms including Citrix, and then run the automated tasks seamlessly on each computer.",0
16,CaseStudy_SDC.pdf,"Automation Anywhere’s built-in SMART Automation Technology, designed with adaptability in mind, would make this doable.",0
17,CaseStudy_SDC.pdf,It solved an ancillary issue as well: agents routinely opened multiple forms on the screen at once – and only the most recently opened was visible.,0
18,CaseStudy_SDC.pdf,SMART Automation Technology captured data from all active and non-active windows.,0
19,CaseStudy_SDC.pdf,"Project at-a-glance Challenge: Automating a complex, time-consuming veriﬁcation processes requiring a legacy application, a document management system, and a variety of corresponding business rules.",0
20,CaseStudy_SDC.pdf,"Solution: A non-invasive automation process utilizing the front-end of both applications, and a system that completed all veriﬁcation requirements with the press of a single hotkey.",0
21,CaseStudy_SDC.pdf,"Beneﬁts: Reduced costs and risks, faster turnaround for veriﬁcation, and fewer human errors.",0
22,CaseStudy_SDC.pdf,"“ We evaluated many other products but we chose AA because of its ﬂexibility to integrate with legacy systems ...I would recommend AA for its ﬂexibility to integrate and automate processes of any kind.” - Vinesh Goyal, ECM Practice Director, Burntsand Corporation (Integrated solution provider, digitized ECM project for San Diego County)San Diego County - Health and Human Services AgencyAn Automation Anywhere Case StudyGo be great.",0
23,CaseStudy_SDC.pdf,Solution Design Automation Anywhere experts devised a solution to bridge the systemic communication gap.,0
24,CaseStudy_SDC.pdf,"An agent would be able to bring up veriﬁcation documents from Documentum, using information from the CalWIN system, and launch the veriﬁcation process with a single hotkey.",0
25,CaseStudy_SDC.pdf,“ Automation Anywhere made it possible to integrate a legacy system with Documentum without requiring any changes to the legacy system.,0
26,CaseStudy_SDC.pdf,"Solution deployment was breeze and users loved the efficiency they achieved using Documentum as backend for content repository.” - Vinesh Goyal, ECM Practice Director, Burntsand Corporation (Integrated solution provider, digitized ECM project for San Diego County)Automation Anywhere would look at the open forms on the agent’s screen, use the combination to decide veriﬁcation ﬁelds, identify relevant documents, and then pull up those documents from the ECM system for the agent.",0
27,CaseStudy_SDC.pdf,"This would speed up the decision making, which in turn would translate to a seamless experience for the agent and the end user.",0
28,CaseStudy_SDC.pdf,"BeneﬁtsThe county had over 2000 agents using this system, which translated to countless hours saved in veriﬁcation time alone.",0
29,CaseStudy_SDC.pdf,The beneﬁts of automating these systems?• A non-invasive solution reduced costs and risk.,0
30,CaseStudy_SDC.pdf,No additional resources were required for custom programming.,0
31,CaseStudy_SDC.pdf,"And no code changes were needed for CalWIN or the EMC enterprise content management system, so no additional resources were required for modiﬁcations either.",0
32,CaseStudy_SDC.pdf,"• A quick and easy, side-by-side comparison meant faster turnaround for veriﬁcation processes.• Immediate ROI and time/cost savings• Increased productivity and efficiency• Fewer human errors, particularly in the veriﬁcation process.",0
33,CaseStudy_SDC.pdf,Discover how Automation Anywhere can give your business an edge.,0
34,CaseStudy_SDC.pdf,Visit us at www.automationanywhere.com today.,0
35,CaseStudy_SDC.pdf,San Diego County - Health and Human Services AgencyAn Automation Anywhere Case Study,0
36,Casestudy-Signifynew.pdf,Signify Accelerates Innovation and Drives First-Time-Right Using RPA ® Go be great.,0
37,Casestudy-Signifynew.pdf,"Service Line • Finance and Accounting Processes Automated • Balance sheet account reconciliation (RTR) • Purchase-to-pay (PTP) • Credit and collections (C&C) Industry Manufacturing ""Automation and Robotization are fundamentally changing service delivery in finance for the better.""",0
38,Casestudy-Signifynew.pdf,"— Eric Goessens, Partnership Development Lead, Signify ORGANIZATION PROFILE Signify, formerly Philips Lighting, is the world leader in lighting for professionals, consumers and for the Internet of Things.",0
39,Casestudy-Signifynew.pdf,"Signify provides the customers with high-quality, energy-efficient lighting products, systems and services.",0
40,Casestudy-Signifynew.pdf,"With 2018 sales of €6.4 billion the company has 29,000 employees and a presence in more than 70 countries.",0
41,Casestudy-Signifynew.pdf,Infosys BPM has been providing Finance and Accounting services to Signify since 2007.,0
42,Casestudy-Signifynew.pdf,"CHALLENGE Signify was looking for ways to streamline and improve the performance of several processes, including balance sheet account reconciliations (RTR), purchase-to-pay (PTP), and credit and collections (C&C).",0
43,Casestudy-Signifynew.pdf,"Employees had to manually update system tools, reconcile reports, and upload documentation for support.",0
44,Casestudy-Signifynew.pdf,"These high-touch repetitive processes like reconciliations, cash application, payment validation, and report generation were very labor-intensive.",0
45,Casestudy-Signifynew.pdf,"120 employees were required to complete these processes, including associates and team leaders who were responsible for performing them daily.",0
46,Casestudy-Signifynew.pdf,"SOLUTION Infosys, with its deep domain and technical expertise, identified various automation opportunities within Signify, and partnered with Automation Anywhere to automate Signify’s finance functions.",0
47,Casestudy-Signifynew.pdf,"After piloting its first bot and quickly experiencing success, Infosys leveraged the Automation Anywhere RPA platform to scale the number of bots across multiple processes in its finance function, resulting in improved first-time-right, faster procure-to-pay cycles and reduction in reconciliations preparation lead time.",0
48,Casestudy-Signifynew.pdf,"Leveraging RPA and analytics tools within that platform, Signify standardized and streamlined its reporting process, giving employees valuable time to review real-time data to make more accurate strategic decisions.",0
